unroll,part,period_ns,lut,ff,dsp,bram,srl,wns_ns,fmax_mhz,power_w
1,xck26-sfvc784-2LV-c,2.0,336,270,0,0,0,0.342,603.1,0.298
2,xck26-sfvc784-2LV-c,2.0,695,268,0,0,0,0.331,599.2,0.313
4,xck26-sfvc784-2LV-c,2.0,1166,267,0,0,0,-0.551,392.0,0.363
17,xck26-sfvc784-2LV-c,2.0,6036,268,0,0,0,-10.136,82.4,1.723
34,xck26-sfvc784-2LV-c,2.0,9862,270,0,0,0,-19.623,46.2,3.186
68,xck26-sfvc784-2LV-c,2.0,22554,267,0,0,0,-38.614,24.6,5.104
5,xck26-sfvc784-2LV-c,2.0,1649,269,0,0,0,-0.872,348.2,0.397
6,xck26-sfvc784-2LV-c,2.0,1817,270,0,0,0,-1.315,301.7,0.454
7,xck26-sfvc784-2LV-c,2.0,2233,269,0,0,0,-1.839,260.5,0.483
8,xck26-sfvc784-2LV-c,2.0,2878,275,0,0,0,-2.282,233.5,0.707
10,xck26-sfvc784-2LV-c,2.0,3033,268,0,0,0,-3.155,194.0,0.934
12,xck26-sfvc784-2LV-c,2.0,4189,267,0,0,0,-4.385,156.6,1.228
